Z_1 Total Dwelling Size (100 ft^2);Z_2 Assessed value ($1000);Y Selling-Price (Dollars)
15,31;37,30;54800,00
15,20;43,80;54000,00
16,25;45,40;52900,00
14,33;37,00;50000,00
14,57;43,80;54900,00
17,33;43,20;56000,00
14,48;40,20;52000,00
14,91;37,70;53500,00
15,25;36,40;54500,00
13,89;35,60;53500,00
15,18;42,60;51500,00
14,44;43,40;51000,00
14,87;40,20;58900,00
18,63;47,20;66500,00
15,20;37,10;48000,00
25,76;69,60;82000,00
19,05;48,60;64000,00
15,37;40,10;49000,00
19,05;46,30;68000,00
16,35;45,80;56000,00
