sector;province;2019-01-01;2019-03-01;2019-05-01;2019-07-01;2019-08-01;2019-10-01;2019-12-01;2020-01-01;2020-02-01;2020-03-01;2020-04-01;2020-05-01;2020-06-01;2020-07-01;2020-08-01;2020-09-01;2020-10-01;2020-11-01;2020-12-01;2021-01-01;2021-02-01;2021-03-01;2021-04-01;2021-05-01;2021-06-01;2021-07-01;2021-08-01;2021-09-01;2021-10-01;2021-11-01;2021-12-01;2022-01-01;2022-02-01;2022-03-01;2022-04-01;2022-05-01;2022-06-01;2022-08-01;2022-09-01;2022-10-01;2022-11-01;2022-12-01;2023-01-01;2023-02-01;2023-03-01
 Çelik;ADANA;5963.44064;5596.49956;6943.28138;7198.18738;5493.06997;9162.88059;7061.22883;6496.21179;6137.56084;7731.44237;4237.79899;5890.0174;7347.8661;5915.72762;5118.76761;9139.76037;6876.35723;6374.69001;6438.88072;7288.58119;7100.21016;8105.02863;7127.60786;8746.92846;10390.73546;7211.63148;10888.68862;10446.05891;10010.00981;10873.231;12786.02917;9962.95768;13560.88847;15203.18476;15977.43728;14094.7853;18578.40086;9718.31095;15636.45847;9385.935;9518.62275;12086.57523;8770.3539;7738.79143;9981.32835
 Çimento Cam Seramik ve Toprak Ürünleri;ADANA;4507.34196;5377.28474;4743.38618;0;2382.53714;4519.06511;3883.38434;4418.20892;3184.18636;4708.75851;2567.72375;893.51722;30.3;0;804.00843;861.04765;1318.60689;994.42893;1630.25138;1243.12454;1222.41451;842.79287;966.71457;409.0128;799.31588;767.86918;612.77066;814.97966;811.9626;907.90855;590.63394;716.85098;774.0528;974.92292;980.77334;881.61746;1567.50541;1152.29305;907.95541;1051.92011;1203.88821;906.66713;730.79494;817.40854;1329.7697
 Demir ve Demir Dışı Metaller ;ADANA;3780.07885;3662.13938;5975.9837;201.72372;4069.01725;5744.46662;5323.57657;5481.94909;5541.38472;4583.82637;3849.88685;3916.98754;0.80134;22.42392;5184.67939;5034.76438;5662.92874;5537.22739;6449.34235;5620.34048;5361.1595;7093.2996;6547.4437;5472.41089;6859.09681;5462.32847;7631.50654;6847.88832;8923.82303;8037.03159;8805.56577;7597.98622;9617.73966;12867.18057;11234.11146;10024.73474;9846.49276;9510.81481;9252.91609;9774.28879;8565.1919;8517.99644;7312.55724;6304.33231;9785.83292
 Deri ve Deri Mamulleri ;ADANA;1256.69401;778.35597;1495.48991;34.08345;1198.49297;451.01797;816.59328;1394.676;818.20469;680.00213;249.5392;697.85298;57.7546;3.12233;821.03441;835.86928;398.13822;892.45252;1262.51665;918.72321;1464.82989;1075.66833;838.48733;942.87444;1405.78633;1106.91521;1142.19307;690.02278;513.03724;511.52909;1397.6392;883.68574;1522.14273;1343.09869;807.40734;590.68892;953.33394;1547.86485;1721.49035;1224.30596;861.99716;1181.57858;1233.93816;1099.00396;1913.04635
 Diğer Sanayi Ürünleri;ADANA;5.29198;28.58429;76.82514;1485.80303;20.43514;61.50855;49.58419;41.39003;93.0905;61.77906;105.72677;110.75906;1008.66489;698.89513;27.5082;130.10176;170.29075;61.19325;157.86464;23.90636;7.29509;120.07217;94.09943;60.52517;125.37611;218.77927;66.08864;18.24991;74.87119;202.12912;60.22583;8.49726;11.07684;133.92913;172.65692;157.34631;35.52915;71.44368;21.3414;96.6794;170.57097;60.60889;25.71561;78.36676;39.49365
 Elektrik Elektronik;ADANA;3198.11249;3716.82672;2261.74571;0;3083.37949;3033.72147;2984.27158;2886.84887;4384.07443;2398.58121;2252.89124;4320.09036;0;0.02089;1479.12444;2187.46409;3174.8887;2370.09039;2116.68864;2530.35451;2796.83782;2700.33458;2517.55202;2256.79868;3866.44671;2348.33097;2319.17775;3014.23401;2627.85242;3326.72514;3024.6792;1276.89712;3786.65188;3095.38165;6227.94869;4421.95162;4068.23534;3653.74142;4056.58379;6397.69712;5041.00282;8910.04023;6361.9539;4341.75228;7737.90562
 Fındık ve Mamulleri ;ADANA;116.45371;61.19684;174.45144;60940.09861;55.63026;64.75972;149.64517;80.41631;109.09383;47.87741;90.64687;49.3062;57121.00448;68667.45246;35.28821;92.68395;121.59472;125.35397;60.04469;111.74327;73.77308;61.48883;194.9216;99.97354;307.78021;78.87403;163.59313;461.14382;319.50841;106.33576;162.6843;89.96092;92.5216;173.03928;113.08119;82.17427;82.95274;150.54122;118.22731;325.61626;136.34586;138.15639;149.96539;60.52272;129.55609
 Gemi ve Yat;ADANA;0;0;39.10572;3702.20924;0.59588;0;0.2115;0.12002;0.01003;0;0.33119;0;2928.77898;1931.67684;0;0;0.78659;0;0.6764;3.39699;0;0;0.10209;0;1.27888;0;0;0;0.45822;8988.58484;11.06243;0;0;12.28419;18.84385;0;1.96995;0.43594;0;0.8052;0;0;0;0;0
 Halı ;ADANA;136.56394;454.74036;473.69787;0;105.79498;499.8261;152.15002;196.01675;133.75503;129.47101;93.80278;91.5657;0;0;73.33478;423.54158;254.5952;189.08084;128.89991;27.89045;137.95077;174.58089;190.26004;159.89986;194.97395;155.66262;117.62166;188.31371;166.64145;291.37414;313.92509;257.19857;308.42047;66.18683;164.51779;89.47455;259.18724;163.87778;231.27409;154.11901;107.06086;179.58639;78.57896;19.17585;312.03114
 Hazırgiyim ve Konfeksiyon ;ADANA;12645.028;13201.44968;16385.13493;1471.43287;13155.59267;11753.095;10811.27996;10975.31266;11766.5543;9711.30992;6683.93599;20628.71661;1962.50738;1743.76578;23860.07292;19697.45497;13584.66155;9379.98057;9852.21112;10216.94117;9157.59194;12866.62103;13530.86454;8103.88319;11598.72658;12661.89793;13894.5569;15191.30431;15066.5728;9662.62282;9934.41622;6741.7959;8465.30666;13708.24868;13720.71795;12284.84943;14262.66466;14815.66995;14850.2815;13127.32415;8756.38477;9019.17911;9947.65142;7635.41353;14001.80517
 Hububat. Bakliyat. Yağlı Tohumlar ve Mamulleri ;ADANA;20707.50809;18907.53769;19803.68656;254.85604;20612.63112;35168.38553;21281.2955;22613.21645;19197.05847;23343.13255;20477.08213;12572.52441;131.04629;194.41757;20335.37777;17328.0241;25779.59641;26415.36708;27343.16411;27325.85334;22943.8287;24502.35426;22370.24687;22856.69965;23778.27539;21957.15403;26102.77498;22359.522;34759.07292;43710.85867;32591.77206;26094.28155;25514.60191;31700.2375;27980.37067;25794.7056;27581.39692;28817.88128;24933.88273;25769.2158;43504.07401;41367.99971;33731.81917;27348.2173;28275.12513
 İklimlendirme Sanayii;ADANA;3660.58188;4052.65374;4937.87021;1950.81813;3679.82127;6446.58408;5824.70797;4714.94648;4405.9317;4232.80351;4140.35342;4380.537;2021.27892;2649.11007;3079.29088;4491.34448;4403.43017;4256.3708;4337.55854;3485.22078;4478.77525;5934.49637;7266.989;4119.41097;5965.28761;4521.83062;6170.67144;5445.56795;5275.50216;5825.36181;5173.92436;3749.44881;4469.22928;5154.43687;3696.39094;5235.12282;5842.71242;3717.30956;6462.31104;4409.72551;10643.03156;7143.24277;3848.3446;3266.71129;5698.6014
 Kimyevi Maddeler ve Mamulleri  ;ADANA;26229.8757;28193.79954;30920.15464;2.23727;21788.80672;27477.12535;27399.34986;24157.36587;22910.48243;28252.51449;24793.26676;20061.92555;2.59085;15.80177;23489.66389;24922.72004;23553.32329;22371.91371;32455.47185;25538.04378;33892.99757;42637.18135;39401.14029;38975.53964;41418.70995;41218.14487;47197.51532;47802.46847;40657.79111;48217.80655;51852.10196;46523.41114;49739.6753;65540.72244;61544.98391;60502.63514;71807.9999;65311.6059;58179.69094;47047.12494;39279.81652;44491.54427;50757.21255;47675.85941;41164.10459
 Kuru Meyve ve Mamulleri  ;ADANA;339.30268;173.11015;274.52771;12.27;88.15177;302.23662;411.36884;134.16578;446.71004;170.77262;138.86387;186.50413;0.20787;32.09168;54.34267;318.49454;199.82911;484.34238;199.369;302.77934;287.19444;274.00802;146.76225;247.82798;193.67312;106.88344;109.24306;536.86141;328.7642;445.71465;298.24049;274.22032;404.15263;416.20659;419.27001;136.41006;343.63697;416.33131;356.38465;324.20219;577.51828;469.66783;368.7636;219.80884;419.81307
