sector;province;2023-05;2023-04;2023-03;2023-02;2023-01;2022-12;2022-11;2022-10;2022-09;2022-08;2022-07;2022-06;2022-05;2022-04;2022-03;2022-02;2022-01;2021-12;2021-11;2021-10;2021-09;2021-08;2021-07;2021-06;2021-05;2021-04;2021-03;2021-02;2021-01;2020-12;2020-11;2020-10;2020-09;2020-08;2020-07;2020-06;2020-05;2020-04;2020-03;2020-02;2020-01;2019-12;2019-11;2019-10;2019-09;2019-08;2019-07;2019-06;2019-05;2019-04;2019-03;2019-02;2019-01;2018-12;2018-11;2018-10;2018-09;2018-08;2018-07;2018-06;2018-05;2018-04;2018-03;2018-02;2018-01
 Çelik;ADANA;12726.69741;10581.67658;9981.32835;7738.79143;8770.3539;12086.57523;9518.62275;9483.185;15636.45847;9718.31095;8961.7935;18578.40086;14094.7853;15977.43728;15203.18476;13559.21759;9962.95768;12759.52177;10873.231;9961.72381;10446.05891;10888.68862;7211.63148;10390.73546;8762.71346;7127.60786;8100.72672;7100.21016;7288.58119;6438.88072;10010.00981;6876.35723;8234.29728;5118.76761;5915.72762;7347.8661;5890.0174;4237.79899;7717.74712;6126.22259;6496.21179;7061.22883;6529.50179;9162.88059;8083.44057;5493.06997;7198.18738;4776.49295;6943.28138;6499.73939;5596.49956;4280.33836;5963.44064;5660.36935;6935.33624;6361.32545;6270.39682;6177.59164;6017.28641;10947.05708;11717.46177;6879.06405;6295.61001;5932.84351;6058.25196
 Çimento Cam Seramik ve Toprak Ürünleri;ADANA;1250.35905;1245.79294;1329.7697;915.50854;730.79494;906.66713;1203.88821;1051.92011;907.95541;1152.29305;918.5055;1567.50541;881.61746;980.77334;969.8542;774.0528;712.77386;590.63394;895.92382;811.9626;814.97966;612.77066;767.86918;797.59952;409.0128;966.71457;842.79287;1203.57939;1243.12454;1630.25138;811.9626;1318.60689;861.04765;803.91003;837.88975;764.59614;894.30647;2567.72375;4659.45804;3184.18636;4402.84985;3883.38434;6926.09067;4519.06511;3313.1678;2382.53714;4282.60653;1722.72125;4743.38618;5035.54034;5377.28474;3108.97188;4507.34196;5741.26923;2455.36349;1654.5688;3288.30263;3606.19238;4819.34995;4772.27028;5499.98057;4880.41941;3894.04191;2937.19065;3055.82836
 Demir ve Demir D??? Metaller ;ADANA;8351.49596;6851.78297;9785.83292;6304.33231;7312.55724;8530.76094;8565.1919;9774.28879;9252.91609;9510.81481;7599.89617;9846.49276;10024.73474;11234.11146;12867.18057;9617.40426;7597.98622;8805.56577;8037.03159;8906.38145;6847.88832;7631.50654;5462.32847;6850.40542;5472.41089;6543.16431;7013.28078;5340.36844;5620.34048;6449.34235;8923.82303;5662.3666;5024.51183;5184.67939;5576.81551;4730.18453;3906.2904;3849.88685;4568.77523;5541.38472;5481.35417;5323.57657;5644.55313;5744.46662;4638.08111;4069.01725;5531.77192;3864.10468;5975.9837;4503.52616;3662.13938;3620.76437;3780.07885;3472.71282;4069.31573;3175.82772;3427.17461;2151.09456;2766.2033;2992.22885;3500.6285;3218.45918;3288.96088;2760.38409;2160.4257
 Deri ve Deri Mamulleri ;ADANA;630.06171;619.04486;1913.04635;1099.00396;1233.93816;1181.57858;861.99716;1299.07526;1721.49035;1547.86485;1182.75785;953.33394;590.68892;807.40734;1343.09869;1522.14273;884.71164;1397.6392;511.52909;492.78954;690.02278;1142.19307;1183.8788;1405.78633;942.87444;793.44573;1075.66833;1464.82989;918.72321;1262.51665;513.03724;398.13822;835.86928;821.03441;829.29164;1182.75905;697.85298;249.5392;680.00213;818.20469;1394.676;816.59328;309.88017;451.01797;1287.86622;1198.49297;1276.27096;945.88916;1495.48991;414.13337;778.35597;932.73121;1256.69401;441.6175;306.79483;397.92428;597.64238;764.34244;918.55704;871.61533;1260.25086;606.86114;992.35228;1123.38896;1344.79574
 Di?er Sanayi Ürünleri;ADANA;142.78382;122.43809;39.49365;78.36676;25.71561;60.60889;170.57097;96.6794;21.3414;71.44368;58.59217;35.52915;157.34631;172.65692;133.92913;11.07684;8.49726;60.22583;202.12912;74.87119;18.24991;66.08864;218.77927;125.37611;60.52517;94.09943;120.07217;7.29509;23.90636;157.86464;74.87119;170.29075;130.10176;27.5082;53.52069;89.46539;110.75906;105.72677;61.77906;93.0905;41.39003;49.58419;29.15322;61.50855;4.73289;20.43514;54.84953;93.5012;76.82514;109.02444;28.58429;163.69898;5.29198;8.44816;29.53721;10.57901;5.47097;9.58875;64.7112;24.69035;323.80947;398.27929;550.05012;27.86688;37.68764
 F?nd?k ve Mamulleri ;ADANA;130.97367;79.54693;129.55609;60.52272;149.96539;138.15639;136.34586;325.61626;118.22731;150.54122;2.48676;82.95274;82.17427;113.08119;173.03928;92.5216;89.96092;162.6843;106.33576;319.50841;461.14382;163.59313;78.87403;307.78021;99.97354;194.9216;61.48883;73.77308;111.74327;60.04469;319.50841;121.59472;92.68395;35.28821;51.32292;44.41563;49.3062;90.64687;47.87741;109.09383;75.78442;149.64517;107.57855;64.75972;217.52571;55.63026;84.98166;30.875;174.45144;41.21937;61.19684;89.68247;116.45371;82.90897;81.36037;68.52698;175.54071;39.29915;109.65209;79.82451;126.26205;124.25774;100.85737;66.80548;69.50276
 Hal? ;ADANA;172.64011;194.60817;312.03114;19.17585;78.57896;179.58639;107.06086;154.11901;231.27409;163.87778;153.18994;259.18724;89.47455;164.51779;66.18683;308.42047;257.19857;313.92509;291.37414;166.64145;188.31371;117.62166;155.66262;194.97395;159.89986;190.25291;174.58089;136.12933;27.89045;128.89991;166.64145;254.5952;423.54158;73.33478;246.14715;210.3746;91.5657;93.80278;129.47101;133.75503;196.01675;152.15002;627.78134;499.8261;377.96696;105.79498;346.05933;348.59893;473.69787;269.83312;454.74036;22.53524;136.56394;135.45455;98.76355;412.59055;386.03556;213.68235;346.1557;279.32777;431.85682;387.83216;692.16582;257.17906;379.64197
 Haz?rgiyim ve Konfeksiyon ;ADANA;11804.82837;12935.61722;14001.80517;7635.41353;9947.65142;9019.17911;8756.38477;13127.32415;14850.2815;14815.66995;11529.85358;14262.66466;12284.84943;13720.71795;13751.37186;8495.07714;6798.91006;9938.75637;9677.2926;15114.54133;15223.64449;13868.81881;12803.96359;11545.29917;8103.88319;13468.86449;12851.10525;8732.44344;9664.21683;9847.39429;15066.5728;13498.17655;19697.45497;23860.07292;41508.19971;40737.18142;20628.71661;6624.1933;9669.20992;11766.5543;10975.31266;10811.27996;10449.42949;11753.095;11939.13313;13155.59267;14972.60036;11273.42963;16385.13493;13267.70869;13201.44968;11226.71183;12645.028;8770.39726;11707.78586;16097.73225;16058.06704;11188.59633;13887.41018;11853.11276;13625.63486;11584.6077;14133.16286;10162.87446;8810.56864
 Hububat. Bakliyat. Ya?l? Tohumlar ve Mamulleri ;ADANA;27477.54254;23081.46373;28275.12513;27576.53956;33731.81917;41367.99971;43504.07401;25769.2158;24933.88273;28917.06128;30709.4844;27581.39692;25794.7056;27980.37067;31700.2375;25470.78708;26094.28155;32587.55148;43436.85867;34673.21792;22351.302;26102.77498;22001.46403;23770.10039;22856.69965;22344.17937;24496.27269;22901.97653;27308.91949;27294.36637;34673.21792;25385.44102;17327.28759;20335.37777;14926.07856;13815.53607;12570.90549;20399.90213;23334.01255;19197.05847;22610.38679;21281.2955;20647.50187;35168.38553;17804.80736;20612.63112;22334.49298;13637.453;19803.68656;20940.16406;18907.53769;19092.87927;20707.50809;20076.26504;29406.06526;24095.30483;16079.62404;16847.17321;18191.90233;14589.48488;19811.89995;16467.63042;18083.43449;19582.74782;22651.65423
 ?klimlendirme Sanayii;ADANA;5965.39066;4578.97712;5698.6014;3266.71129;3848.3446;7143.89395;10643.03156;4412.84687;6462.31104;3717.30956;3337.94152;5842.71242;5235.12282;3696.39094;5154.43687;4390.68773;3717.91115;5173.92436;5825.36181;5275.50216;5445.56795;6169.02528;4521.83062;5965.28761;4119.41097;7266.989;5934.49637;4459.3839;3485.22078;4315.92454;5275.50216;4403.43017;4491.34448;3079.29088;3954.24523;3353.15085;4380.537;4140.35342;4221.75951;4405.9317;4714.94648;5824.70797;5838.17735;6446.58408;4639.69344;3679.82127;3932.49478;2597.00006;4937.87021;3886.54819;4052.65374;4458.54997;3660.58188;4449.17087;4006.15377;4467.26123;4053.2777;3123.27014;3685.73212;2643.24378;3199.75354;3633.66243;3793.93492;4497.03654;2359.11809
