MONTHS;ADANA;ADIYAMAN;AFYON;AĞRI;AKSARAY;AMASYA;ANKARA;ANTALYA;ARDAHAN;ARTVIN;AYDIN;BALIKESIR;BARTIN;BATMAN;BAYBURT;BILECIK;BINGÖL;BITLIS;BOLU;BURDUR;BURSA;ÇANAKKALE;ÇANKIRI;ÇORUM;DENIZLI;DIYARBAKIR;DÜZCE;EDIRNE;ELAZIĞ;ERZINCAN;ERZURUM;ESKIŞEHIR;GAZIANTEP;GIRESUN;GÜMÜŞHANE;HAKKARI;HATAY;IĞDIR;ISPARTA;İSTANBUL;İZMIR;K.MARAŞ;KARABÜK;KARAMAN;KARS;KASTAMONU;KAYSERI;KILIS;KIRIKKALE;KIRKLARELI;KIRŞEHIR;KOCAELI;KONYA;KÜTAHYA;MALATYA;MANISA;MARDIN;MERSIN;MUĞLA;MUŞ;NEVŞEHIR;NIĞDE;ORDU;OSMANIYE;RIZE;SAKARYA;SAMSUN;SIIRT;SINOP;SIVAS;ŞANLIURFA;ŞIRNAK;TEKIRDAĞ;TOKAT;TRABZON;TUNCELI;UŞAK;VAN;YALOVA;YOZGAT;ZONGULDAK
2023-04-01;225874.01;5174.94;22990.64;1800.50;10965.99;7704.05;974191.33;182786.87;394.21;6161.25;65675.92;71485.46;1957.03;1977.75;0.00;8844.72;127.01;840.66;15504.29;16450.44;1212540.32;6180.43;27733.29;101233.82;310326.47;15584.53;29848.72;6500.46;29862.54;2342.98;1813.18;107289.28;779228.94;21586.55;2456.14;4428.42;183422.28;5355.15;30133.88;7370219.68;1062256.60;80288.39;26704.68;23675.03;80.77;16190.64;234824.22;6097.23;265.47;16671.59;21034.94;1441844.67;241639.32;30772.20;27798.79;405826.64;57057.31;239047.52;71589.44;934.71;5702.57;5103.27;26074.40;11234.36;18690.66;426319.26;97718.48;5176.55;2399.01;6587.88;20133.49;44544.18;144363.39;2051.60;96932.47;187.82;21665.78;1350.00;52675.49;1504.37;26582.35
2023-03-01;247821.91;7785.67;30512.51;2431.08;14575.96;8388.29;1086287.89;206926.87;368.93;6353.95;95453.52;112207.04;3173.25;2300.87;Eyl.44;12124.95;435.68;452.59;15814.71;19871.85;1508086.66;9259.89;36384.12;108363.14;416263.73;18737.46;38676.09;8271.13;23723.30;2895.55;1159.81;125941.83;912024.48;30193.12;2751.48;4718.88;226524.96;6794.73;39067.58;9415557.02;1342435.07;73119.70;42201.41;29254.59;152.61;11066.17;278927.51;8435.35;677.83;20222.53;28584.46;1801754.00;308739.03;32335.12;35050.82;497365.99;95017.62;284297.17;86378.08;660.26;8144.59;5049.98;31903.43;11786.06;16256.16;488951.67;113345.70;4242.44;3629.76;8833.49;20078.18;47889.55;169295.04;2475.65;102251.54;771.95;28155.69;3233.61;6411.54;1417.81;25033.00
2023-02-01;206154.25;6833.11;24081.10;1696.03;11272.14;5215.80;849545.67;190970.97;252.97;4888.38;85170.22;89986.41;2117.16;1601.81;0.00;10845.93;278.40;951.91;15493.61;12618.27;1288224.12;8054.23;28208.73;46371.14;339086.44;26110.97;32929.73;6086.82;13585.72;2360.94;1014.77;112861.68;516227.69;23756.86;4596.55;3086.60;105743.53;6083.56;28188.89;7487350.89;1143547.52;51480.47;24793.97;21917.51;58.47;10645.36;214404.59;6123.97;394.95;15174.15;23214.56;1427991.19;239323.01;32562.60;17259.70;440426.95;57410.90;220628.36;70077.09;184.09;8117.48;5081.07;22946.07;13716.65;6756.07;322390.52;73029.29;1462.33;3100.01;7088.75;13131.49;37820.33;143357.81;1798.61;105649.29;Ağu.76;27355.82;3547.91;6152.51;1001.24;31055.16
2023-01-01;234508.18;11631.98;26684.42;1925.86;11426.28;6073.32;779665.92;160474.67;314.22;5265.76;68790.53;99715.88;2994.05;2661.88;0.00;9098.93;396.58;453.88;15840.96;21646.41;1190706.77;7121.94;27150.72;35712.17;308839.85;20424.57;29816.30;5402.58;33903.23;2182.57;1416.08;105079.51;798596.59;18677.43;3770.72;4983.05;192144.58;4937.26;31372.79;7530429.89;1134948.35;113835.57;24916.90;32404.51;102.09;16903.46;224584.25;6430.21;446.84;15449.46;25479.76;1325672.86;249376.44;34037.70;35768.34;352936.38;71143.59;274131.81;64380.35;946.78;12520.21;4351.78;22776.18;17975.19;18940.42;541597.87;88795.98;5295.81;3245.64;7384.78;18129.18;46766.08;143218.82;3695.91;108379.40;41.62;30194.92;3799.17;5469.05;1970.33;35880.18
2022-12-01;263143.77;14655.29;26905.07;3667.07;21204.66;6765.61;1204717.81;190106.20;237.82;4975.39;97267.10;86296.79;2675.94;7514.13;0.00;8021.83;1051.00;1239.50;19298.67;19452.59;1601588.40;12401.83;25765.18;118903.36;383141.29;30286.52;38610.81;4744.56;26699.53;2448.65;1990.47;127006.87;903746.36;46688.52;3350.47;6133.48;266441.70;7127.39;36411.75;8704185.59;1221033.19;113647.79;49607.37;33510.97;39.02;24267.61;274014.48;7967.25;1470.18;15918.74;19749.61;1450457.42;292716.49;30964.74;46274.70;517516.89;81470.61;342080.54;95112.09;236.16;23372.88;4510.21;28821.93;15001.94;12025.11;514158.35;100626.03;3387.10;4573.00;8584.23;27294.25;64485.61;127325.25;2943.12;133894.32;23.40;40850.07;5498.73;61982.31;1739.68;30295.47
2022-11-01;255297.85;9357.95;30301.18;4141.31;19022.83;5812.56;1273595.35;166494.45;418.18;5760.71;91128.31;75292.32;2906.92;5306.02;15.99;8448.82;688.60;584.93;14649.82;20702.69;1457238.78;8009.47;22442.70;108365.00;369658.17;24433.31;38512.30;5826.55;27361.44;2542.12;4024.33;123917.67;927076.72;34233.82;3295.37;6075.85;287060.82;9813.74;34125.60;8300301.50;1110872.88;119794.55;32324.90;38339.52;121.56;11543.15;258176.98;8304.84;1300.35;14915.29;23480.13;1412143.07;281378.77;33691.75;48364.81;464740.52;93860.43;322048.05;99184.35;128.95;11579.80;3622.68;34243.24;20466.66;10263.25;468526.91;107191.08;5885.33;4528.60;8499.84;31828.55;56824.05;135649.32;3241.84;141913.69;137.48;41289.94;5575.57;7632.39;8146.07;46328.80
2022-10-01;234303.15;8557.99;30047.48;3620.75;11800.06;6707.25;886689.83;160088.40;321.98;4210.12;101840.84;66827.92;2118.65;3516.43;0.00;9654.13;897.96;247.73;15665.35;19425.31;1302098.89;7605.58;29090.01;109119.86;324854.28;24729.71;38978.02;6137.04;18501.46;2026.60;2552.13;111084.77;957797.90;30267.50;7990.66;4539.23;242094.07;12001.29;35607.66;8303011.92;1061090.01;113815.74;26840.53;30953.23;157.14;10974.48;258529.99;7732.23;1169.20;12399.02;26868.15;1490497.00;260045.40;35304.62;44150.07;471047.09;95136.59;259251.10;73749.44;1461.19;10637.80;4514.32;31385.15;27516.29;31280.13;300527.47;110050.08;5114.48;2758.75;7190.27;24714.15;62454.15;125194.77;3123.08;116953.74;48.46;42183.13;4127.73;126014.54;1192.55;42710.60
2022-09-01;244082.52;11715.49;35260.18;2713.20;16135.25;6653.03;990620.83;153723.57;286.92;4032.01;80594.52;78046.79;2134.49;4023.97;43.44;12958.82;1301.10;677.21;18839.87;22986.30;1446533.42;8545.09;28468.88;126932.46;383142.95;23881.84;39561.12;5612.16;52701.20;1580.14;2367.44;118118.87;954830.89;32649.59;3356.74;3572.61;263747.07;11986.36;39086.86;8808453.80;1152466.58;121569.98;39282.23;35695.71;161.68;20769.50;273021.23;12516.75;1396.07;15462.06;31596.02;1566865.03;292898.72;39516.99;45966.12;465270.79;94547.44;247607.60;91129.34;379.95;9095.24;6372.17;32746.81;54031.73;17876.37;461694.56;105291.08;6351.89;3151.56;9309.32;22435.99;65340.38;151758.55;3300.76;83196.54;102.01;41011.83;4857.05;28334.68;1582.24;48543.48
2022-08-01;258877.49;9154.20;33961.18;3289.64;15160.17;6534.01;881397.20;159091.47;409.08;4928.33;74877.42;85469.60;4229.01;4418.61;0.00;10396.95;385.37;456.48;13103.64;24905.34;1403531.47;6730.18;28889.29;89721.00;384388.71;27852.80;45730.48;5249.18;23221.99;2490.31;3802.40;106043.17;916436.45;20381.07;3374.64;4356.31;289414.96;11375.08;33856.39;8361580.94;1187637.95;124094.93;37318.82;28987.15;118.64;22063.34;250932.32;8163.05;1302.48;12613.21;31896.55;1441190.31;287897.94;34982.33;34207.79;431643.10;98217.43;202360.08;91944.21;1028.54;12257.65;5112.38;31915.55;47594.67;32964.91;279222.80;99231.35;8543.38;2772.65;5815.44;22255.80;62905.29;143983.28;4936.34;64531.69;54.11;36972.97;2890.70;5658.50;5773.02;73934.86
2022-07-01;236384.39;7727.70;30182.49;2677.94;14355.71;4394.45;1010615.72;128436.71;368.72;4402.43;64433.30;64167.99;1361.97;3441.44;0.00;8751.63;284.65;903.13;13175.49;23912.83;1036874.54;8508.29;23194.23;49164.52;327798.28;32646.22;38027.90;3403.09;22779.15;1546.57;1459.96;89453.45;707568.48;17434.25;2978.28;2892.02;281442.52;8196.23;38297.76;6925054.69;1061799.75;95919.71;34873.02;21208.97;158.05;46444.81;221235.57;7943.10;1428.78;9561.33;25694.85;1742749.51;239390.57;28404.35;24002.34;338211.48;88002.43;170644.09;81910.77;676.82;19163.74;4849.51;27634.71;24811.01;17818.45;274570.39;112608.43;9050.67;3061.24;7926.07;20117.58;72091.84;110035.95;4163.40;69882.14;52.23;30894.49;1860.45;10518.00;9190.22;36047.27
2022-06-01;286446.86;5368.19;41220.63;2485.23;22473.35;7313.20;980253.99;178893.54;714.05;5189.20;95761.97;100153.24;2157.43;1996.03;0.00;11570.94;272.86;1425.57;17234.30;29968.37;1560495.95;8508.38;29896.38;81616.83;487985.37;24566.43;45247.35;5441.78;35089.16;1760.81;1952.81;118372.62;921217.82;27812.69;6284.61;5712.89;349937.68;9401.60;48261.52;9115927.05;1311720.08;137294.75;57787.29;27651.27;156.73;41450.36;288464.22;8212.72;1228.45;16142.68;34724.96;1885667.31;277962.41;39982.18;32716.30;449856.04;85307.84;250464.17;102266.29;161.83;12315.07;5118.39;37495.31;24142.46;11761.70;389176.65;132312.84;7598.37;3395.97;8197.54;18747.35;73279.00;154123.67;4450.90;87464.96;148.19;31379.20;3696.30;13980.93;7724.33;90937.65
2022-05-01;238341.53;8549.62;46897.54;2162.54;18367.80;6425.82;774850.14;166375.32;426.54;4476.95;72708.63;68531.59;2594.67;4103.93;0.00;10132.82;633.05;848.95;12723.90;17564.00;1178494.04;6222.34;23518.47;27073.72;347796.63;23461.49;33240.42;4269.60;29189.25;2345.03;1820.28;86341.94;729196.47;25243.53;8963.99;2871.25;340375.67;7094.57;31867.63;7472166.35;1042366.17;104389.84;53077.78;19233.02;85.66;40035.18;249097.18;7981.50;1316.76;14087.20;30778.01;1610450.74;240960.77;43389.18;29931.13;368796.47;74529.78;201609.51;71693.13;104.84;10831.64;4227.65;28902.26;14292.88;7209.57;353089.95;90990.20;7844.41;1684.96;7339.83;19526.28;76564.77;117833.99;3330.80;65193.70;55.82;27499.85;2414.10;43908.40;3027.43;60439.93
2022-04-01;267586.69;8189.38;34881.63;3123.32;22411.23;9074.69;1049156.97;210265.57;323.33;5051.75;92323.04;92348.47;3475.72;3698.76;0.00;14893.73;649.41;699.20;18538.38;21163.29;1333080.74;7825.09;26291.33;63249.34;468350.34;19052.04;47328.29;7095.46;39236.53;3897.54;1925.59;118297.79;918878.99;27389.34;5414.97;3450.39;301698.29;10522.30;36348.67;9327423.56;1405491.69;132849.77;24138.48;28273.53;113.46;42759.63;310426.76;7427.73;2280.64;17383.30;39494.95;1911392.63;320162.52;43351.88;38878.60;460762.31;72814.23;230888.40;77045.21;178.35;21969.96;4484.87;35891.31;59833.19;43503.70;497753.57;105493.75;5433.19;1712.62;8926.99;18534.62;65730.18;164046.64;3679.21;76430.40;10.Tem;35600.31;2083.15;123245.75;14190.02;39465.75
2022-03-01;283099.07;5588.29;33664.04;3703.80;24893.91;7582.47;1031313.45;193783.83;401.31;5119.47;87909.70;86116.53;2748.57;5078.56;0.00;13828.81;1306.33;1098.26;17844.00;24728.66;1328066.69;8183.85;31970.42;67052.82;497183.22;23180.98;44282.04;6917.40;53532.69;3011.92;1406.57;107260.37;968451.49;28439.22;6346.83;4087.94;355257.91;8089.51;38756.89;9090992.13;1187566.41;149919.35;52809.17;27398.71;153.23;17274.84;298432.68;6693.45;1554.91;16983.80;34636.77;1881920.93;286589.46;50616.54;45914.05;488342.24;107466.01;268525.88;71692.33;75.09;19887.53;5201.43;35161.08;26801.15;10815.74;393641.23;148112.94;4097.24;2398.14;8180.56;21595.48;75836.23;141008.50;3569.28;74752.13;85.10;36572.32;2201.63;39794.16;1419.02;100718.73
2022-02-01;233666.70;5229.02;26905.11;4164.03;16127.47;6132.69;785795.12;166641.26;450.94;5459.07;73030.80;68855.70;2421.13;1974.49;0.00;10523.28;988.79;981.80;15842.55;21707.52;1346535.90;7085.68;32504.96;86386.38;378416.00;24323.23;38769.22;6554.24;27626.90;3179.74;1876.87;97766.74;900723.38;26826.37;7634.94;3926.45;299393.05;7365.78;36089.84;7964621.79;1118536.64;130264.01;37741.29;23495.47;191.67;41842.23;247530.24;6499.89;2775.48;14426.09;35688.53;1390088.99;266343.67;43105.19;34825.63;408105.25;105626.58;240284.79;63518.33;77.04;12023.79;5402.38;32441.88;20399.67;22185.67;569227.31;97581.43;7358.48;2804.64;7712.45;18851.55;68316.12;135675.75;3051.02;94786.48;38.53;28537.39;3085.23;35619.17;1377.45;44616.14
