sector;province;2018-01;2018-12;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07;2019-06;2018-08;2018-09;2018-10;2018-11;2019-01;2019-02;2019-03;2019-04;2019-05;2019-07;2019-08;2019-09;2019-10;2019-11;2019-12;2020-01;2020-02;2020-03;2020-04;2020-05;2021-05;2020-06;2020-07;2021-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2022-04;2021-06;2022-06;2022-05;2021-08;2022-08;2022-07;2021-09;2021-10;2022-10;2021-11;2022-11;2021-12;2022-12;2022-01;2023-01;2022-02;2023-02;2022-03;2023-03;2023-04;2023-05
 Çelik;ADANA;6058.25196;5660.36935;5932.84351;6295.61001;6879.06405;11717.46177;10947.05708;6017.28641;4776.49295;6177.59164;6270.39682;6361.32545;6935.33624;5963.44064;4280.33836;5596.49956;6499.73939;6943.28138;7198.18738;5493.06997;8083.44057;9162.88059;6529.50179;7061.22883;6496.21179;6126.22259;7717.74712;4237.79899;5890.0174;8762.71346;7347.8661;5915.72762;7211.63148;5118.76761;8234.29728;6876.35723;10010.00981;6438.88072;7288.58119;7100.21016;8100.72672;7127.60786;15977.43728;10390.73546;18578.40086;14094.7853;10888.68862;9718.31095;8961.7935;10446.05891;9961.72381;9483.185;10873.231;9518.62275;12759.52177;12086.57523;9962.95768;8770.3539;13559.21759;7738.79143;15203.18476;9981.32835;10581.67658;12726.69741
 Çimento Cam Seramik ve Toprak Ürünleri;ADANA;3055.82836;5741.26923;2937.19065;3894.04191;4880.41941;5499.98057;4772.27028;4819.34995;1722.72125;3606.19238;3288.30263;1654.5688;2455.36349;4507.34196;3108.97188;5377.28474;5035.54034;4743.38618;4282.60653;2382.53714;3313.1678;4519.06511;6926.09067;3883.38434;4402.84985;3184.18636;4659.45804;2567.72375;894.30647;409.0128;764.59614;837.88975;767.86918;803.91003;861.04765;1318.60689;811.9626;1630.25138;1243.12454;1203.57939;842.79287;966.71457;980.77334;797.59952;1567.50541;881.61746;612.77066;1152.29305;918.5055;814.97966;811.9626;1051.92011;895.92382;1203.88821;590.63394;906.66713;712.77386;730.79494;774.0528;915.50854;969.8542;1329.7697;1245.79294;1250.35905
 Demir ve Demir Dışı Metaller ;ADANA;2160.4257;3472.71282;2760.38409;3288.96088;3218.45918;3500.6285;2992.22885;2766.2033;3864.10468;2151.09456;3427.17461;3175.82772;4069.31573;3780.07885;3620.76437;3662.13938;4503.52616;5975.9837;5531.77192;4069.01725;4638.08111;5744.46662;5644.55313;5323.57657;5481.35417;5541.38472;4568.77523;3849.88685;3906.2904;5472.41089;4730.18453;5576.81551;5462.32847;5184.67939;5024.51183;5662.3666;8923.82303;6449.34235;5620.34048;5340.36844;7013.28078;6543.16431;11234.11146;6850.40542;9846.49276;10024.73474;7631.50654;9510.81481;7599.89617;6847.88832;8906.38145;9774.28879;8037.03159;8565.1919;8805.56577;8530.76094;7597.98622;7312.55724;9617.40426;6304.33231;12867.18057;9785.83292;6851.78297;8351.49596
 Deri ve Deri Mamulleri ;ADANA;1344.79574;441.6175;1123.38896;992.35228;606.86114;1260.25086;871.61533;918.55704;945.88916;764.34244;597.64238;397.92428;306.79483;1256.69401;932.73121;778.35597;414.13337;1495.48991;1276.27096;1198.49297;1287.86622;451.01797;309.88017;816.59328;1394.676;818.20469;680.00213;249.5392;697.85298;942.87444;1182.75905;829.29164;1183.8788;821.03441;835.86928;398.13822;513.03724;1262.51665;918.72321;1464.82989;1075.66833;793.44573;807.40734;1405.78633;953.33394;590.68892;1142.19307;1547.86485;1182.75785;690.02278;492.78954;1299.07526;511.52909;861.99716;1397.6392;1181.57858;884.71164;1233.93816;1522.14273;1099.00396;1343.09869;1913.04635;619.04486;630.06171
 Diğer Sanayi Ürünleri;ADANA;37.68764;8.44816;27.86688;550.05012;398.27929;323.80947;24.69035;64.7112;93.5012;9.58875;5.47097;10.57901;29.53721;5.29198;163.69898;28.58429;109.02444;76.82514;54.84953;20.43514;4.73289;61.50855;29.15322;49.58419;41.39003;93.0905;61.77906;105.72677;110.75906;60.52517;89.46539;53.52069;218.77927;27.5082;130.10176;170.29075;74.87119;157.86464;23.90636;7.29509;120.07217;94.09943;172.65692;125.37611;35.52915;157.34631;66.08864;71.44368;58.59217;18.24991;74.87119;96.6794;202.12912;170.57097;60.22583;60.60889;8.49726;25.71561;11.07684;78.36676;133.92913;39.49365;122.43809;142.78382
 Fındık ve Mamulleri ;ADANA;69.50276;82.90897;66.80548;100.85737;124.25774;126.26205;79.82451;109.65209;30.875;39.29915;175.54071;68.52698;81.36037;116.45371;89.68247;61.19684;41.21937;174.45144;84.98166;55.63026;217.52571;64.75972;107.57855;149.64517;75.78442;109.09383;47.87741;90.64687;49.3062;99.97354;44.41563;51.32292;78.87403;35.28821;92.68395;121.59472;319.50841;60.04469;111.74327;73.77308;61.48883;194.9216;113.08119;307.78021;82.95274;82.17427;163.59313;150.54122;2.48676;461.14382;319.50841;325.61626;106.33576;136.34586;162.6843;138.15639;89.96092;149.96539;92.5216;60.52272;173.03928;129.55609;79.54693;130.97367
 Halı ;ADANA;379.64197;135.45455;257.17906;692.16582;387.83216;431.85682;279.32777;346.1557;348.59893;213.68235;386.03556;412.59055;98.76355;136.56394;22.53524;454.74036;269.83312;473.69787;346.05933;105.79498;377.96696;499.8261;627.78134;152.15002;196.01675;133.75503;129.47101;93.80278;91.5657;159.89986;210.3746;246.14715;155.66262;73.33478;423.54158;254.5952;166.64145;128.89991;27.89045;136.12933;174.58089;190.25291;164.51779;194.97395;259.18724;89.47455;117.62166;163.87778;153.18994;188.31371;166.64145;154.11901;291.37414;107.06086;313.92509;179.58639;257.19857;78.57896;308.42047;19.17585;66.18683;312.03114;194.60817;172.64011
 Hazırgiyim ve Konfeksiyon ;ADANA;8810.56864;8770.39726;10162.87446;14133.16286;11584.6077;13625.63486;11853.11276;13887.41018;11273.42963;11188.59633;16058.06704;16097.73225;11707.78586;12645.028;11226.71183;13201.44968;13267.70869;16385.13493;14972.60036;13155.59267;11939.13313;11753.095;10449.42949;10811.27996;10975.31266;11766.5543;9669.20992;6624.1933;20628.71661;8103.88319;40737.18142;41508.19971;12803.96359;23860.07292;19697.45497;13498.17655;15066.5728;9847.39429;9664.21683;8732.44344;12851.10525;13468.86449;13720.71795;11545.29917;14262.66466;12284.84943;13868.81881;14815.66995;11529.85358;15223.64449;15114.54133;13127.32415;9677.2926;8756.38477;9938.75637;9019.17911;6798.91006;9947.65142;8495.07714;7635.41353;13751.37186;14001.80517;12935.61722;11804.82837
 Hububat. Bakliyat. Yağlı Tohumlar ve Mamulleri ;ADANA;22651.65423;20076.26504;19582.74782;18083.43449;16467.63042;19811.89995;14589.48488;18191.90233;13637.453;16847.17321;16079.62404;24095.30483;29406.06526;20707.50809;19092.87927;18907.53769;20940.16406;19803.68656;22334.49298;20612.63112;17804.80736;35168.38553;20647.50187;21281.2955;22610.38679;19197.05847;23334.01255;20399.90213;12570.90549;22856.69965;13815.53607;14926.07856;22001.46403;20335.37777;17327.28759;25385.44102;34673.21792;27294.36637;27308.91949;22901.97653;24496.27269;22344.17937;27980.37067;23770.10039;27581.39692;25794.7056;26102.77498;28917.06128;30709.4844;22351.302;34673.21792;25769.2158;43436.85867;43504.07401;32587.55148;41367.99971;26094.28155;33731.81917;25470.78708;27576.53956;31700.2375;28275.12513;23081.46373;27477.54254
 İklimlendirme Sanayii;ADANA;2359.11809;4449.17087;4497.03654;3793.93492;3633.66243;3199.75354;2643.24378;3685.73212;2597.00006;3123.27014;4053.2777;4467.26123;4006.15377;3660.58188;4458.54997;4052.65374;3886.54819;4937.87021;3932.49478;3679.82127;4639.69344;6446.58408;5838.17735;5824.70797;4714.94648;4405.9317;4221.75951;4140.35342;4380.537;4119.41097;3353.15085;3954.24523;4521.83062;3079.29088;4491.34448;4403.43017;5275.50216;4315.92454;3485.22078;4459.3839;5934.49637;7266.989;3696.39094;5965.28761;5842.71242;5235.12282;6169.02528;3717.30956;3337.94152;5445.56795;5275.50216;4412.84687;5825.36181;10643.03156;5173.92436;7143.89395;3717.91115;3848.3446;4390.68773;3266.71129;5154.43687;5698.6014;4578.97712;5965.39066
